"Scenario","Type","k","tau2","bias_type","true_mu","Method","Estimate","SE","CI_Lower","CI_Upper","Covered","k_final"
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",1.05276877124897,1.50229699461429,-1.89167923227781,3.99721677477575,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-1.94808746563928,1.46842111161226,-4.82613995853759,0.929965027259033,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-1.94808746563928,1.38500698185672,-5.08119093017197,1.18501599889342,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-1.68548502204868,1.48545335869885,-4.59692010581249,1.22595006171513,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",1.05145599226645,1.38283465155794,-1.6588501213611,3.761762105894,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",1.05145599226645,1.27548971867608,-1.83390221091212,3.93681419544502,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",0.907905548625269,1.39478776329401,-1.82582823350816,3.6416393307587,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",0.597206272235543,2.10748522879181,-3.53338887414655,4.72780141861764,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",0.597206272235543,2.21156491045742,-4.40570113094889,5.60011367541998,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-0.0468671958407739,1.822272976213,-3.61845659921887,3.52472220753732,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-0.863397753629821,1.81532825885078,-4.42137576109514,2.6945802538355,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-0.863397753629821,1.81306133472321,-4.9648274385664,3.23803193130676,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-0.529969593963613,1.81869343682436,-4.09454322905873,3.03460404113151,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-0.114274174975372,1.3986261129629,-2.85553098421991,2.62698263426917,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-0.114274174975372,1.22060083204806,-2.87546509011034,2.64691674015959,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-0.103751038019742,1.43176361149893,-2.90995615093265,2.70245407489316,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-0.870964817046394,1.98236623481569,-4.75633124145341,3.01440160736063,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-0.870964817046394,2.00944539184567,-5.41664610346191,3.67471646936913,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-0.494857912275094,1.65122270561824,-3.73119494574163,2.74147912119144,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-0.688385908355418,1.40140632132359,-3.43509182585642,2.05832000914559,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-0.688385908355418,1.53073407060829,-4.15114695052121,2.77437513381037,TRUE,10
